Wispace Feature 
"Epic","Title","Description","End Date","Status","Note(s)","Role"
"3. IELTS Writing Task 2 ","3.10. Chấm điểm bài viết có sẵn (WT2)","Mô tả: Công cụ chấm điểm bài viết độc lập — người dùng không cần đi qua quy trình tạo/chọn topic essay. Nhập trực tiếp: chọn loại task (Task 1/Task 2), chọn dạng đề, dán đề bài, và dán bài viết đã viết sẵn. AI sẽ chấm điểm và đưa ra phản hồi chi tiết giống như module Writing Practice.
Người dùng nhận được: Chấm điểm nhanh bất kỳ bài viết IELTS nào (ví dụ: bài làm ở lớp học, bài tự luyện offline) mà không cần viết lại trên nền tảng. Tiết kiệm thời gian khi chỉ cần đánh giá chất lượng bài viết.
","","Released","",""
"4. Virtual Exams","4.1. Tạo đề thi thử","","","Released","","For Learner, For Teacher"
"4. Virtual Exams","4.2. Trang làm bài thi","","","Released","","For Learner, For Teacher"
"4. Virtual Exams","4.3. Tạo highlight/chi chú","","","Released","","For Learner, For Teacher"
"4. Virtual Exams","4.4. Chấm điểm và nhận xét bài thi","","","Released","","For Learner, For Teacher"
"4. Virtual Exams","4.5. Làm lại bài thi  (Retake exam)","","","Released","","For Learner, For Teacher"
"5. Progress Tracking","5.1. Thông số học tập của người dùng","Mô tả: Trang theo dõi tiến trình học tập toàn diện. Bao gồm:
Goals Section — Hiển thị band score mục tiêu, ngày thi dự kiến, số ngày còn lại đếm ngược.

Essay History Table — Bảng lịch sử bài viết với: ngày, loại task, dạng đề, điểm số, sắp xếp/lọc theo nhiều tiêu chí, tìm kiếm, lọc theo khoảng thời gian (tuần/tháng/tùy chỉnh), đánh dấu sao (star) bài quan trọng. Hỗ trợ phân trang (50 bài đầu cho chart, lazy load 10 bài/trang).
Date Filter — Lọc dữ liệu theo tuần, tháng, hoặc khoảng ngày tùy chỉnh với calendar picker.
Người dùng nhận được: Bức tranh toàn cảnh về hành trình học tập, nhận biết xu hướng tiến bộ hoặc tụt lùi, xác định dạng bài cần cải thiện, và động lực từ việc thấy sự tiến bộ qua biểu đồ.
","","Released","","For Learner"
"5. Progress Tracking","5.2. Điểm trung bình của người dùng","","","Released","","For Learner"
"5. Progress Tracking","5.3. Biểu đồ tiến độ học tập","Charts Section — Biểu đồ điểm số theo thời gian cho Task 1, Task 2, và Virtual Exam (sử dụng Chart.js). Hiển thị xu hướng tiến bộ.","","Released","","For Learner"
"5. Progress Tracking","5.4. Lịch sử bài viết","Essay History Table — Bảng lịch sử bài viết với: ngày, loại task, dạng đề, điểm số, sắp xếp/lọc theo nhiều tiêu chí, tìm kiếm, lọc theo khoảng thời gian (tuần/tháng/tùy chỉnh), đánh dấu sao (star) bài quan trọng. Hỗ trợ phân trang (50 bài đầu cho chart, lazy load 10 bài/trang).","","Released","","For Learner, For Teacher"
"5. Progress Tracking","5.8. Trắc nghiệm luyện tập (Quiz AI)","Mô tả: Hệ thống quiz AI tự động sinh câu hỏi trắc nghiệm dựa trên bài viết và feedback của người dùng. Sau khi nhận feedback cho bài viết, người dùng có thể vào Quiz để kiểm tra kiến thức. AI (Gemini) phân tích bài viết gốc, lỗi sai, và feedback chi tiết để tạo câu hỏi liên quan đến từ vựng, ngữ pháp, cấu trúc bài viết. Giao diện gồm: danh sách câu hỏi với navigation sidebar, đồng hồ đếm thời gian, lịch sử làm bài, và trang kết quả với giải thích chi tiết cho từng câu.
Người dùng nhận được: Củng cố kiến thức từ chính lỗi sai của mình, ôn tập có mục tiêu thay vì học tràn lan, theo dõi sự tiến bộ qua các lần làm quiz.
","2026-03-15T00:00:00.000Z","Released","","For Learner"
"6. Exam Library","6.1. Trang tải đề thi lên","Mô tả: Admin có thể tải đề thi lên để người dùng có thể sử dụng (tính năng này chỉ nằm trong Admin Portal)","","Released","","For Admin"
"6. Exam Library","6.2. Xem/lọc/tìm kiếm đề thi","Mô tả: Thư viện đề thi IELTS Writing được phân loại theo 3 tab: Task 1 (lọc theo loại biểu đồ), Task 2 (lọc theo dạng đề), và Full Exam (lọc theo nguồn Cambridge/Actual Test). 
- Mỗi đề hiển thị dạng card với preview câu hỏi, hover để xem chi tiết và nút ""Practice""/""Take Exam"". Hỗ trợ tìm kiếm, phân trang, và sắp xếp.
- Người dùng có thể chọn ""Practice""/""Take Exam"" để di chuyển đến trang Writing practice/Virtual Exam để làm bài.
Người dùng nhận được: Kho đề thi phong phú từ Cambridge IELTS và đề thi thật, dễ dàng tìm và luyện tập theo dạng đề yếu, hoặc thi thử full exam với đề thật.
","","Released","","For Learner, For Teacher"
"6. Exam Library","6.3. Hiển thị gợi ý đề thi ở trang Writing Practice/ Virtual Exam","Mô tả: Mỗi đề hiển thị dạng card với preview câu hỏi. Khi hover để xem chi tiết và nhấn nút ""Practice""/""Take Exam"" để chọn đề thi và làm bài
Người dùng nhận được: Người dùng dễ dàng lựa chọn đề và làm bài khi ở giao diện thiết lập đề writing.","","Released","","For Learner, For Teacher"
"7. Payments ","7.1. Trang thông tin về các gói dịch vụ","Mô tả: Modal hiển thị các gói dịch vụ có sẵn, chia theo 2 tab: Experience và Premium. 
Mỗi gói hiển thị: tên gói, giá (VND), thời hạn, số lượt sử dụng/ngày (pooled tokens), danh sách tính năng có giới hạn (Writing Practice, Virtual Exam, Essay Grading) và không giới hạn (AI 5-minute test, Exam Library, Progress Tracking). 

Nút ""Mua ngay"" chuyển hướng đến trang thanh toán. Hỗ trợ hiển thị gói hiện tại, chặn mua lại gói không cho phép repurchase.

Người dùng nhận được: So sánh rõ ràng các gói dịch vụ, hiểu được quyền lợi cụ thể ở từng gói, và mua gói phù hợp nhu cầu.
","","Released","","For Learner"
"7. Payments ","7.2. Cổng thanh toán cho người dùng","Mô tả: Hiển thị QR thanh toán cho người dùng
-> Trang xác nhận sau khi thanh toán thành công hoặc bị hủy. Trang Success hiển thị thông tin đơn hàng, gói đã mua, và nút quay lại trang chính. Trang Cancel thông báo giao dịch không hoàn thành với tùy chọn thử lại.
Người dùng nhận được: Xác nhận trạng thái giao dịch rõ ràng, yên tâm về việc kích hoạt gói dịch vụ.
","","Released","","For Learner"
"8. User Engagement","8.2. Câu hỏi thiết lập mục tiêu người dùng","Mô tả: Modal thiết lập mục tiêu hiển thị cho người dùng mới sau lần đăng nhập đầu tiên. 

Quy trình 4 bước: 
(1) Thiết lập hồ sơ cá nhân (tên, độ tuổi, nghề nghiệp, lý do học), 
(2) Thiết lập mục tiêu band score & ngày thi, 
(3) Tự đánh giá năng lực hiện tại qua khảo sát, 
(4) Thiết lập lịch nhắc nhở học tập hàng tuần.

Người dùng nhận được: Trải nghiệm cá nhân hóa ngay từ đầu, hệ thống hiểu rõ trình độ và mục tiêu để đề xuất lộ trình phù hợp. Lịch nhắc nhở giúp duy trì thói quen học
","","Released","","For Learner"
"8. User Engagement","8.6. Giới thiệu người dùng mới (Refferal system)","","","Released","","For Learner"
"9. Behavior Analytics","9.2. Dashboard số liệu hành vi người dùng ","","","Released","","For Admin"
"10. Teacher-side","9.3. Trang tổng quan cho giáo viên ","","2026-03-29T00:00:00.000Z","In Testing","","For Teacher"
"5. Progress Tracking","5.9. Tạo bài viết cải thiện bằng AI","","2026-03-10T00:00:00.000Z","In Dev","",""
"10. Teacher-side","10.1 Trang tạo và quản lý lớp","","","In Dev","",""
"10. Teacher-side","10.2 Trang tổng quan cho từng lớp","","","In Dev","",""
"10. Teacher-side","10.3 Trang trung tâm chấm bài","","","In Dev","",""
"10. Teacher-side","10.4 Trang chấm chữa bài viết của học viên","","","In Dev","",""
"8. User Engagement","8.1. Lộ trình Onboarding của người dùng mới","","","In Design","","For Learner"
"8. User Engagement","8.3. Bài kiểm tra năng lực 5 phút (enhance)","Mô tả: Bài kiểm tra nhanh 5 phút — tính năng được liệt kê trong các gói subscription như không giới hạn, cho phép người dùng luyện viết ngắn để đánh giá nhanh trình độ.
Người dùng nhận được: Đánh giá nhanh năng lực viết trong thời gian ngắn.","","In Design","","For Learner"
"10. Teacher-side","9.4. Trang tổng quan cho Admin","","2026-03-15T00:00:00.000Z","In Design","","For Admin"
"11. AI Roadmap","AI Roadmap ","Mô tả: Lộ trình học IELTS Writing cá nhân hóa, thiết kế như khóa học online. Mỗi bài học có thể là video, bài đọc (article), hoặc quiz. Hỗ trợ: đánh dấu hoàn thành, lưu bookmark, ghi chú, hỏi đáp, tải tài liệu đính kèm, điều hướng bài trước/sau.
Người dùng nhận được: Lộ trình học có hệ thống từ cơ bản đến nâng cao, theo dõi tiến trình hoàn thành, học đa phương tiện (video + bài đọc + quiz), và tương tác qua hỏi đáp trên từng bài học.
","","In Design","",""
"0. General Information Pages","0.3. Trang về các chính sách và hỗ trợ khách hàng","","","Backlog","","For All"
"0. General Information Pages","0.4. Chuyển đổi ngôn ngữ Tiếng Anh/Tiếng Việt","","","Backlog","","For All"
"5. Progress Tracking","5.5. Phân tích điểm yếu của người dùng","","","Backlog","","For Learner"
"5. Progress Tracking","5.6. Kế hoạch học tập chi tiết","","","Backlog","","For Learner"
"7. Payments ","7.1. Thiết lập các gói dịch vụ và ưu đãi","","","Backlog","","For Learner"
"7. Payments ","7.3. Lịch sử thanh toán của khách hàng","","","Backlog","","For Learner"
"8. User Engagement","8.4. Xin đánh giá và phản hồi từ người dùng","","","Backlog","","For Learner, For Teacher"
"8. User Engagement","8.5. Thiết lập thông báo Ưu đãi & Tiếp thị","","","Backlog","","For Learner, For Teacher"
"8. User Engagement","8.7. Trang bài viết blog","","","Backlog","",""
"8. User Engagement","","","","Backlog","",""
"10. Teacher-side","","","","","",""
"10. Teacher-side","","","","","",""
